"pais","universidad","qs_rank_2026","facultad_escuela","programa_doctorado","c1_lineas_IA","c2_objetivos_perfil","c3_plan_min3_cursos","c4_tesis_IA","clasificacion","forma_competencias_0_1","confianza","requiere_acceso_manual","fuente_principal"
"Estonia","University of Tartu","362","Faculty of Science and Technology - Institute of Computer Science","Doctorado en Mathematics and Computer Science (esp. Computer Science)","Si","Indicio","NoVerificable","Si","PARCIAL","1","Media-Alta","Abrir curriculo/OIS del doctorado CS y la especializacion para confirmar C3/C2 (mejor candidato a upgrade a CUMPLE)","https://reaalteadused.ut.ee/en/sisu/doctoral-programme-mathematics-and-computer-science"
"Estonia","Tallinn University of Technology (TalTech)","635","School of IT - Dept. of Software Science","Doctorado en Information and Communication Technology","Si","Indicio","NoVerificable","Indicio","PARCIAL","1","Media","[Validado rank=635] Abrir grupos del Dept. Software Science y plan del PhD-ICT para confirmar lineas IA y >=3 cursos","https://taltech.ee/en/doctoral-studies-it"
"Estonia","Tallinn University","1001-1200","School of Digital Technologies","Doctorado en Information Society Technologies","Si","Indicio","NoVerificable","Indicio","PARCIAL","1","Media-Baja","[Validado: 3a universidad estonia en QS 2026; Life Sciences NO esta en ranking general] Confirmar linea IA dentro del doctorado","https://www.tlu.ee/en/dt/information-society-technologies"
"Singapur","National University of Singapore (NUS)","8","School of Computing","PhD in Computer Science","Si","Si","Si","Si","CUMPLE","1","Alta","Leve: confirmar requisito de cursos del PhD (no del MComp) en el NUS Bulletin","https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/graduate-education/"
"Singapur","Nanyang Technological University (NTU)","12","College of Computing and Data Science (CCDS)","PhD in Computer Science & Engineering / Computing and Data Science","Si","Si","Si","Si","CUMPLE","1","Alta","No","https://www.ntu.edu.sg/education/graduate-programme/ccds-phd-cs-engineering"
"Singapur","Singapore Management University (SMU)","511","School of Computing and Information Systems (SCIS)","PhD in Computer Science","Si","Si","Si","Si","CUMPLE","1","Media-Alta","No (curriculo PhD declara cursos de AI & Data Science)","https://computing.smu.edu.sg/phd/structure-curriculum"
"Singapur","Singapore University of Technology and Design (SUTD)","519","Information Systems Technology and Design (ISTD)","SUTD PhD Programme - pilar ISTD (pista de IA)","Si","Si","Si","Si","CUMPLE","1","Media-Alta","Leve: contar cursos de IA en la pagina Courses de ISTD","https://www.sutd.edu.sg/programme-listing/istd-phd-programme/"
"Portugal","Universidade de Lisboa (Inst. Superior Tecnico)","230","Instituto Superior Tecnico (INESC-ID)","PhD Computer Science & Engineering / Electrical & Computer Engineering","Si","Si","Si","Si","CUMPLE","1","Media-Alta","No (30-60 ECTS coursework; confirmar nº cursos IA en CS&E)","https://tecnico.ulisboa.pt/en/education/courses/phd-programmes/"
"Portugal","Universidade do Porto (FEUP)","237","FEUP (LIACC, INESC TEC)","ProDEI - Doctoral Program in Informatics Engineering","Si","Si","Si","Si","CUMPLE","1","Alta","No (IA area explicita + 60 ECTS clases)","https://sigarra.up.pt/feup/en/cur_geral.cur_view?pv_curso_id=679"
"Portugal","Universidade NOVA de Lisboa (NOVA FCT)","327","NOVA FCT - DI (NOVA LINCS)","Doutoramento em Informatica (PhD Computer Science)","Si","Si","Si","Si","CUMPLE","1","Media-Alta","Leve: confirmar nº cursos IA del 1er año","https://www.fct.unl.pt/en/education/course/phd-computer-science"
"Portugal","Universidade de Coimbra (DEI/FCTUC)","347","FCTUC - DEI (CISUC, grupo bAI)","Doutoramento em Engenharia Informatica","Si","Si","Si","Si","CUMPLE","1","Alta","No (4 cursos 1er año + grupo bAI)","https://www.uc.pt/en/fctuc/dei/ensino/doctoral_program/plano_estudos_phd"
"Portugal","Universidade de Aveiro (DETI)","419","DETI (IEETA, IT)","PhD Informatics/Computer Engineering (polo MAP)","Si","Si","Si","Si","CUMPLE","1","Media-Alta","Leve: confirmar cursos IA del año curricular MAP","https://www.ua.pt/pt/cursos/tipo/programas-doutorais"
"Portugal","Universidade do Minho","566","Escola de Engenharia (ALGORITMI)","MAP-i / Doutoramento em Informatica","Si","Si","Si","Si","CUMPLE","1","Alta","No (MAP-i 1er año curricular; ALGORITMI)","https://algoritmi.uminho.pt/phd_programs/informatics/"
